name,price,composition,category,gender,description,img_url,url,scrapped-at
CALÇA FEMININA SKINNY ALTA COM BARRA DIFERENCIADA E DESFIADA,224.90,3% elastano 97% algodão,CALÇA,FEMININO,"Calça feminina Modelagem Skinny alta Detalhes para a barra, que é mais larga e desfiada Detalhes em detonados Fechamento com zíper e botão Modelo veste 36",https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_com_barra_diferenciada_e_desfiada_96060275_1_1d0d16ba61e9646752e22d2981b02139.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-alta-com-barra-diferenciada-e-desfiada,11-04-2022
CALÇA FEMININA SKINNY ALTA BOLSO FRONTAL QUADRADO PLUS SIZE,252.90,3% elastano 5% poliéster 92% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny alto Detalhes em detonados Bolso frontal quadrado Fechamento de botão e zíper Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_bolso_frontal_quadrado_plus_size_96060321_1_51cb15da47405d54fdfe931c1d36f3c9.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-skinny-alta-bolso-frontal-quadrado-plus-size,11-04-2022
CALÇA FEMININA SKINNY ALTA BOLSO FRONTAL QUADRADO,241.90,3% elastano 5% poliéster 92% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny alto Detalhes em detonados Bolso frontal quadrado Fechamento de botão e zíper Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_bolso_frontal_quadrado_96060316_1_0d09a5850190a3df036f784978751907.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-alta-bolso-frontal-quadrado,11-04-2022
CALÇA FEMININA SKINNY ALTA TECNOLOGIA COR PRETO QUE NÃO DESBOTA PLUS SIZE,224.90,"15% poliester 2,5% elastano 82,5% algodão",CALÇA,FEMININO,Calça feminina Modelagem Skinny alta Cor preto que não desbota Peça tradicional e fundamental para diversos looks Fechamento com zíper e botão Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_alta_tecnologia_cor_preto_que_nao_desbota_plus_size_96060370_1_c569dd217e928c0afad478e8da1c2424.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-skinny-alta-tecnologia-cor-preto-que-nao-desbota-plus-size,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS RECORTE FRONTAL,228.90,3% elastano 97% algodão,CALÇA,FEMININO,"Calça feminina Modelagem skinny hot pants Lavação amaciada Recorte frontal, lindo detalhe Detalhes de duas agulhas no cós Modelo veste 36",https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_recorte_frontal_96061355_1_67533a79deb96aa5f140c37c5f127bd4.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-hot-pants-recorte-frontal,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS PLUS SIZE,248.90,3% elastano 5% poliéster 92% algodão,CALÇA,FEMININO,Calça feminina Modelagem Skinny hot pants Lavação estonada que realça a cor ficando bem jeans Fechamento zípper e botão Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_plus_size_96060326_1_ae16aa2f5e9aa6456c638c49aad476dc.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-skinny-hot-pants-plus-size,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS PLUS SIZE,193.90,26% poliester 3% elastano 71% algodão,CALÇA,FEMININO,Calça feminina Modelagem Skinny hot pants Lavação amaciada Bordado delicado no bolso traseiro Fechamento com zíper e botão Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_plus_size_96060900_1_feb106c02c24d20fd5065f220c47378c.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-skinny-hot-pants-plus-size-96060900,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS LAVAÇÃO LIXADA PLUS SIZE,252.90,3% elastano 97% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny Puídos na barra e nos bolsos Modelo veste 46,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_lavacao_lixada_plus_size_96061036_1_1adf82f7382f1891dca83783a443069b.jpg,https://www.daksuljeans.com.br/feminino/feminino-plus-size/calca-feminina-skinny-hot-pants-lavacao-lixada-plus-size,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS LAVAÇÃO LIXADA,241.90,3% elastano 97% algodão,CALÇA,FEMININO,Calça feminina Modelagem skinny Puídos na barra e nos bolsos Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_lavacao_lixada_96061031_1_9f7c778c156b001fc65b7d117d4c02e7.jpg,https://www.daksuljeans.com.br/feminino/calca/skinny/calca-feminina-skinny-hot-pants-lavacao-lixada,11-04-2022
CALÇA FEMININA SKINNY HOT PANTS COR PRETO QUE NÃO DESBOTA,197.90,"15% poliester 2,5% elastano 82,5% algodão",CALÇA,FEMININO,Calça feminina Modelagem Skinny hot pants Tecnologia cor preto que não desbota Não possui cós e possui pense frontal e traseira Fechamento com zíper e botão Modelo veste 36,https://images.tcdn.com.br/img/img_prod/1052366/calca_feminina_skinny_hot_pants_cor_preto_que_nao_desbota_96060905_1_f4f46094bb7b4fc19be7b24648e2b6c2.jpg,https://www.daksuljeans.com.br/feminino/calca/hot-pants/calca-feminina-skinny-hot-pants-cor-preto-que-nao-desbota,11-04-2022
