name,price,category,composition,color,gender,description,img_url,url,scrapped-at
Camiseta Levi's Red Tab Vintage,"R$ 149,90",Camiseta,100% Algodão,Roxo,Masculino,Código: A06370008 Produto: Camiseta Levi's Red Tab Vintage Categoria: Camisetas Cor / Lavagem: Roxo Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/434204-640-640/A06370008_1.jpg?v=637650698895300000,https://www.levi.com.br/camiseta-levis-red-tab-vintage-a063700080008/p,12-04-2022
Camisa Levi's Sunset Pocket Standard,"R$ 209,90",Camisa,100% Algodão,Branco,Masculino,Código: 866240023 Produto: Camisa Levi's Sunset Pocket Standard Categoria: Camisas Cor / Lavagem: Branco Manga: Curta Bolso: Sim Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/442136-640-640/866240023_1.jpg?v=637660448898800000,https://www.levi.com.br/camisa-levis-sunset-pocket-standard-8662400230023/p,12-04-2022
Camiseta Levi's Relaxed Fit,"R$ 169,90",Camiseta,100% Algodão,Preto,Masculino,Código: 161432195 Produto: Camiseta Levi's Relaxed Fit Categoria: Camisetas Cor / Lavagem: Preto Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/442581-640-640/LB0012195_1.jpg?v=637660451280700000,https://www.levi.com.br/camiseta-levis-relaxed-fit-lb00121952195/p,12-04-2022
Camiseta Levi's Relaxed Fit Logo,"R$ 109,90",Camiseta,100% Algodão,Verde,Masculino,Código: A01075011 Produto: Camiseta Levi's Relaxed Fit Logo Categoria: Camisetas Cor / Lavagem: Verde Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/451237-640-640/PC9LB0025011_1.jpg?v=637721441630530000,https://www.levi.com.br/camiseta-levis-relaxed-fit-logo-lb00250115011/p,12-04-2022
Camiseta Levi's Relaxed Fit,"R$ 119,90",Camiseta,100% Algodão,Preto,Masculino,Código: 161432091 Produto: Camiseta Levi's Relaxed Fit Categoria: Camisetas Cor / Lavagem: Preto Manga: Curta Bolso: Não Logo: Sim Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Nacional,https://lojalevis.vteximg.com.br/arquivos/ids/424006-640-640/LB0012091_1.jpg?v=637642025243370000,https://www.levi.com.br/camiseta-levis-relaxed-fit-lb00120912091/p,12-04-2022
Camisa Levi's Classic Camper,"R$ 209,90",Camisa,"58% Algodão, 42% Viscose",Verde,Masculino,Código: 219760035 Produto: Camisa Levi's Classic Camper Categoria: Camisas Cor / Lavagem: Verde Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/424168-640-640/219760035_1.jpg?v=637642026306200000,https://www.levi.com.br/camisa-levis-classic-camper-2197600350035/p,12-04-2022
Camisa Levi's Classic Camper,"R$ 209,90",Camisa,"58% Algodão, 42% Viscose",Vermelho,Masculino,Código: 219760034 Produto: Camisa Levi's Classic Camper Categoria: Camisas Cor / Lavagem: Vermelho Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/441309-640-640/219760034_1.jpg?v=637660444417770000,https://www.levi.com.br/camisa-levis-classic-camper-2197600340034/p,12-04-2022
Camisa Levi's Pieced,"R$ 89,90",Camisa,100% Algodão,Multicolor,Masculino,Código: 559430002 Produto: Camisa Levi's Pieced Categoria: Camisas Cor / Lavagem: Azul/Laranja Manga: Sem manga Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/441677-640-640/559430002_1.jpg?v=637660446487830000,https://www.levi.com.br/camisa-levis-pieced-5594300020002/p,12-04-2022
Camiseta Levi's Original,"R$ 109,90",Camiseta,100% Algodão,Amarelo,Masculino,Código: 566050099 Produto: Camiseta Levi's Original Categoria: Camisetas Cor / Lavagem: Amarelo Manga: Curta Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/441861-640-640/566050099_1.jpg?v=637660447431400000,https://www.levi.com.br/camiseta-levis-original-5660500990099/p,12-04-2022
Camisa Levi's Barstow Western Standard,"R$ 309,90",Camisa,"82% Algodão, 18% Hemp",Lavagem Clara,Masculino,Código: 857440030 Produto: Camisa Levi's Barstow Western Standard Categoria: Camisas Cor / Lavagem: Lavagem Clara Manga: Longa Bolso: Não Logo: Não Coleção: Primavera / Verão 2021 Gênero: Masculino Origem: Importado,https://lojalevis.vteximg.com.br/arquivos/ids/434089-640-640/857440030_1.jpg?v=637650698229400000,https://www.levi.com.br/camisa-levis-barstow-western-standard-8574400300030/p,12-04-2022
