name,price,gender,category,composition,leather,description,img_url,url,scrapped-at
Calça Jeans Cropped de Cintura Altissíma,299,Feminino,Cropped,Algodão 100%,Jeans,A,https://damyller.vteximg.com.br/arquivos/ids/582897-980-1470/Calca-Jeans-Cropped-de-Cintura-Altissima-Frente--.jpg?v=637400024925870000,https://www.damyller.com.br/calca-jeans-cropped-de-cintura-altissima-0n0r998/p,11-04-2022
Blusa de Malha Canelada com Transpasse,129,Feminino,Blusas,"Poliéster 95%, Elastano 5%",,A blusa de malha canelada com detalhe de transpasse frontal tira a produção do óbvio. Aposte com seu jeans favorito para um,https://damyller.vteximg.com.br/arquivos/ids/593177-980-1470/Blusa-de-Malha-Canelada-com-Transpasse-Frente--.jpg?v=637467463138570000,https://www.damyller.com.br/blusa-de-malha-canelada-com-transpasse-0v0mr54/p,11-04-2022
Calça Jeans Skinny Cropped Cintura Alta,289,Feminino,Skinny,Algodão 57% Poliéster 26% Viscose 14% Elastano 3%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,A calça skinny faz parte da linha,https://damyller.vteximg.com.br/arquivos/ids/581295-980-1470/Calca-Jeans-Skinny-Cropped-Cintura-Alta-Frente--.jpg?v=637395371345700000,https://www.damyller.com.br/calca-jeans-skinny-cropped-cintura-alta-9n0f678/p,11-04-2022
Calça Jeans Escura Cropped Cintura Alta,249,Feminino,Cropped,"Algodão 78%, Poliéster 20%, Elastano 2%",Jeans,A calça jegging faz parte da linha,https://damyller.vteximg.com.br/arquivos/ids/559447-980-1470/Calca-Jeans-Escura-Cropped-Cintura-Alta-Frente--.jpg?v=637261575654570000,https://www.damyller.com.br/calca-jeans-escura-cropped-cintura-alta-9n0r874/p,11-04-2022
Calça Chino Risca de Giz de Cintura Alta,289,Feminino,Chino,"Algodão 74%, Poliéster 24%, Elastano 2%",Jeans,O shape chino + a risca de giz traz inspirações da alfaiataria para o visual com praticidade e estilo. Aposte com um body e um salto para um look casual nada óbvio.,https://damyller.vteximg.com.br/arquivos/ids/583576-980-1470/Calca-Chino-Risca-de-Giz-de-Cintura-Alta-Frente--.jpg?v=637400099440900000,https://www.damyller.com.br/calca-chino-risca-de-giz-de-cintura-alta-9n0r896/p,11-04-2022
Calça Jeans Azul Claro Jegging Cropped,289,Feminino,Jegging,Algodão 98% Elastano 2%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,A calça de cintura super alta jegging cropped aparece pronta para ser a sua nova queridinha do,https://damyller.vteximg.com.br/arquivos/ids/558029-980-1470/Calca-Jeans-Azul-Claro-Jegging-Cropped-Frente--.jpg?v=637234051371300000,https://www.damyller.com.br/calca-jeans-azul-claro-jegging-cropped-9n0f656/p,11-04-2022
Blusa Jeans com Estampa Floral,249,Feminino,Blusas,Costas: Liocel 100%. Frente E Mangas: Poliéster 100%,Jeans,O combo jeans + floral une modernidade e romantismo em uma única peça. A dica é apostar com calça jeans e um blazer para um,https://damyller.vteximg.com.br/arquivos/ids/556554-980-1470/Blusa-Jeans-com-Estampa-Floral-Frente--.jpg?v=637207550621030000,https://www.damyller.com.br/blusa-jeans-com-estampa-floral-9i0r858/p,11-04-2022
Saia Jeans Midi com Fenda e Amarração,279,Feminino,Midi,"Algodão 85%, Poliéster 15%",Jeans,A saia midi jeans encara produções sofisticadas ou,https://damyller.vteximg.com.br/arquivos/ids/560565-980-1470/Saia-Jeans-Midi-com-Fenda-e-Amarracao-Frente--.jpg?v=637273077400300000,https://www.damyller.com.br/saia-jeans-midi-com-fenda-e-amarracao-9v0r866/p,11-04-2022
Calça Jeans Jogger Feminina,329,Feminino,Jogger,Algodão 100%,Jeans,A calça jeans,https://damyller.vteximg.com.br/arquivos/ids/557041-980-1470/Calca-Jeans-Jogger-Feminina-Frente--.jpg?v=637218912308900000,https://www.damyller.com.br/calca-jeans-jogger-feminina-9n0r852/p,11-04-2022
Calça Jeans Escuro Clochard Ecodamyller,269,Feminino,Clochard,Algodão 83% Poliéster 16% Elastano 1%. Forro De Bolso: Algodão 67% Poliéster 33%,Jeans,Reforçando o compromisso em produzir um,https://damyller.vteximg.com.br/arquivos/ids/601887-980-1470/Calca-Jeans-Escuro-Clochard-Ecodamyller-Frente--.jpg?v=637520376790530000,https://www.damyller.com.br/calca-jeans-escuro-clochard-ecodamyller-9n0f693/p,11-04-2022
