name,price,category,subcategory,composition,color,gender,description,img_url,url,scrapped-at
Polo Manga Curta Em Malha,"R$ 79,99",Estampada,Estampada,100% ALGODAO,TANGERINA,Masculino,"Polo manga curta composta por 100% algodão, com detalhe em listras na manga, e na gola. A peça é multicolores, produto estiloso e versátil que não pode faltar no seu guarda roupas.",https://storetng.vteximg.com.br/arquivos/ids/416984-639-876/BNMPPB01_833_1-POLO-MEIA-MALHA-C--PUNHO.jpg?v=637735513412200000,https://www.tng.com.br/polo-manga-curta-em-malha-tangerina-bnmppb01-833/p,12-04-2022
Tênis Unissex Iate Lona,"R$ 199,99",Calçados,Sapatos Casuais,100% POLIESTER,BR-BRANCO,Masculino,Tênis sem cadarço com detalhes coloridos na sola.,https://storetng.vteximg.com.br/arquivos/ids/426454-639-876/V21MDTE02_350_1-TENIS-UNISSEX-IATE-LONA.jpg?v=637781988032000000,https://www.tng.com.br/tenis-unissex-iate-lona-br-branco-v21mdte02-350/p,12-04-2022
Camiseta Estampa Faixa C/ Frase,"R$ 39,99",Camisetas,Camiseta Estampada,100% ALGODAO,AZUL PISCINA,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/428584-639-876/V21MMDF61_710_1-CAMISETA-ESTAMPA-FAIXA-C--FRASE.jpg?v=637837307964330000,https://www.tng.com.br/camiseta-estampa-faixa-c-frase-azul-piscina-v21mmdf61-710/p,12-04-2022
Bermuda Color Com Bolso Faca,"R$ 139,99",Bermudas,Bermudas de Sarja,98% ALGODAO 2% ELASTANO,VERDE MILITAR,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/420892-639-876/V21MBC02_850_1-BERMUDA-COLOR-COM-BOLSO-FACA.jpg?v=637752859563300000,https://www.tng.com.br/bermuda-color-com-bolso-faca-verde-militar-v21mbc02-850/p,12-04-2022
Bermuda Xadrez Cargo,"R$ 49,99",Bermudas,Bermudas de Sarja,65% POLIESTER 35% ALGODAO,VERDE,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/431470-639-876/V21MBC05_936_1-BERMUDA-XADREZ-CARGO.jpg?v=637849267703270000,https://www.tng.com.br/bermuda-xadrez-cargo-verde-v21mbc05-936/p,12-04-2022
Calça Chino Alfaiataria,"R$ 199,99",Calças,Calças de Sarja,98% POLIESTER 2% ELASTANO,AZUL MARINHO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/426092-639-876/BNMCCH03_750_1-CALCA-CHINO-ALFAIATARIA.jpg?v=637768404502470000,https://www.tng.com.br/calca-chino-alfaiataria-azul-marinho-bnmcch03-750/p,12-04-2022
Camiseta Estampa Forgiviness,"R$ 69,99",Camisetas,Camiseta Estampada,100% ALGODAO,BR-BRANCO,Masculino,,https://storetng.vteximg.com.br/arquivos/ids/426288-639-876/V21MMDF74_350_1-CAMISETA-ESTAMPA-FORGIVINESS.jpg?v=637768992077770000,https://www.tng.com.br/camiseta-estampa-forgiviness-br-branco-v21mmdf74-350/p,12-04-2022
Camiseta Listra Dupla,"R$ 69,99",Camisetas,Camisetas,,BR-BRANCO,Masculino,"CAMISETA MANGA CURTA, GOLA CARECA À FIO EM MALHA COM LISTRAS DUPLAS.",https://storetng.vteximg.com.br/arquivos/ids/426897-639-876/I22MMDF30_350_1-CAMISETA-LISTRA-DUPLA.jpg?v=637800246046170000,https://www.tng.com.br/camiseta-listra-dupla-br-branco-i22mmdf30-350/p,12-04-2022
Camisa Masculina Social Slim,"R$ 89,99",Camisas,Camisa Social,65% ALGODAO 35% POLIESTER,BRANCO,Masculino,"Camisa masculina confeccionada em algodão lisa modelo slim. Possui manga longa, fechamento por botões nos punhos entremeio e acabamento em costura no tom.",https://storetng.vteximg.com.br/arquivos/ids/157982-639-876/BNMMB10_350_1-CAMISA-MASCULINA-SOCIAL-SLIM.jpg?v=636828408931100000,https://www.tng.com.br/camisa-masculina-social-slim-branco-bnmmb10-350/p,12-04-2022
Camiseta Malha Pontos,"R$ 69,99",Camisetas,Camisetas,,PT-PRETO,Masculino,"CAMISETA MANGA CURTA, GOLA CARECA Á FIO, MALHA COM PONTOS.",https://storetng.vteximg.com.br/arquivos/ids/426936-639-876/I22MMDF31_950_1-CAMISETA-MALHA-PONTOS.jpg?v=637800246280970000,https://www.tng.com.br/camiseta-malha-pontos-pt-preto-i22mmdf31-950/p,12-04-2022
