name,price,composition,age,category,gender,description,url,scrapped-at
Elástico de Cabelo Magic Color,"14,97",,Miniteen - 10 a 14 Anos,Acessórios,Meninas,"Elástico com lacinho, faixas e estampa colorida e divertida.",https://www.alphabeto.com/elastico-de-cabelo-magic-color-53353/p,11-04-2022
Casaco Doce Algodão,"59,97","CASACO EM MATELASSÊ 77% POLIÉSTER, 20% ALGODÃO E 3% ELASTANO.",Meninas,Meninas,OFF,"Casaco delicado e fofo, em matelassê, com abotoamento no corpo, bordado nas costas e aplicação de pompons.",https://www.alphabeto.com/casaco-doce-algodao-52056/p,11-04-2022
Arco Cajuzinho,"19,97",,Miniteen - 10 a 14 Anos,Acessórios,Meninas,"Arco larguinho estilo turbante com um lindo laço, estampado com flores e pequenos cajuzinhos.",https://www.alphabeto.com/arco-cajuzinho-53346/p,11-04-2022
Jardineira Oncinha,"94,97",JARDINEIRA DE JEANS 77% ALGODÃO 20% POLIÉSTER E 3% ELASTANO,Meninas,Meninas,OFF,Conforto e estilo andam de mãos dadas nesse jardineira incrível e com o toque do jeans que nunca sai de moda!,https://www.alphabeto.com/jardineira-oncinha-51969/p,11-04-2022
Jaqueta Colorsaura,"74,97",JAQUETA EM SARJA 98% POLIÉSTER E 2% ELASTANO,Meninas,Meninas,OFF,"Jaqueta para as meninas que amam rosa, com botões no corpinho, babadinhos no colo e detalhes fofos e bordados frente e costas.",https://www.alphabeto.com/jaqueta-colorsaura-54113/p,11-04-2022
Casaco Basico Divertido,"59,97",CASACO EM MOLETINHO 100% ALGODÃO,Meninas,Meninas,OFF,"Casaco quentinho com abertura em zíper, capuz e detalhes bordados no corpinho.",https://www.alphabeto.com/casaco-basico-divertido-54143/p,11-04-2022
Casaco Basico Divertido,"34,97",CASACO EM MOLETINHO 100% ALGODÃO,Meninas,Meninas,OFF,Casaco quentinho e confortável com detalhes bordados que encantam.,https://www.alphabeto.com/casaco-basico-divertido-54142/p,11-04-2022
Conjunto Peixe Flora,"47,97",e BATA EM POPELINE 100% ALGODÃO E SHORT EM TECIDO 100% ALGODÃO,Meninas,Meninas,OFF,"O Conjunto Peixe e Flora era a peça que faltava no guarda-roupa das pequenas! Superconfortável e versátil, o conjuntinho é composto por um linda batinha estampada com lacinhos nas alças e um shortinho leve com elástico no cós. O conjuntinho é a opção perfeita para dias mais quentes e brincadeiras com os amiguinhos!",https://www.alphabeto.com/conjunto-peixe-flora-54688/p,11-04-2022
Blusa Uv Moda Praia,"53,97",P M e G BLUSA EM LYCRA UV 90% POLIÉSTER E 10% ELASTANO,Meninas,Meninas,OFF,"A Blusa UV Polvinhos é perfeita para as princesas curtirem os dias de sol com mais segurança. Suas mangas longas e tecnologia de proteção contra raios UV garantem proteção às pequenas, permitindo brincadeiras até nos dias mais quentes!",https://www.alphabeto.com/blusa-uv-moda-praia-54751/p,11-04-2022
Conjunto Sereinha,"53,97",RN BODY E SHORT EM 1/2 MALHA 100% ALGODÃO,Meninas,Meninas,OFF,"Direto do Fundo do mar, cheio de cor e fofura, o Conjunto Sereinha chegou para animar todas as pequeninas! Confeccionado em meia malha 100% algodão, o conjunto possui duas peças: um body bordado de sereia super fofo com abotoamento entrepernas e um shortinho estampado com elástico no cós, muito soltinho e confortável. Uma fofura!",https://www.alphabeto.com/conjunto-sereinha-54704/p,11-04-2022
Conjunto a Casinha,"41,97",e REGATA E SHORT EM POPELINE 100% ALGODÃO https//vimeo.com/605859631,Meninas,Meninas,OFF,"O Conjunto A Casinha era a peça que faltava no guarda-roupa das pequenas! Super confortável e versátil, o conjuntinho é composto por um linda regatinha branca , estampada com casinhas e um shortinho de popeline, com elástico no cós. O conjuntinho é uma opção perfeita para dias mais quentes e brincadeiras com os amiguinhos!",https://www.alphabeto.com/conjunto-a-casinha-54692/p,11-04-2022
,,,,,,,https://www.alphabeto.com/almofada-fadinhas-53423/p,11-04-2022
Conjunto a Casinha,"59,97","1, 2, 3, 4, 5, 6, 8 e 10 anosBLUSA E BERMUDA EM MALHA 100% ALGODÃO",Meninas,Meninas,OFF,"Super colorido e divertido, o Conjunto A Casinha é perfeito para o dia a dia das pequenas! Confeccionada em malha 100% algodão, o conjuntinho é composto por duas peças. Uma blusinha cinza com estampa localizada e uma bermuda estampada com elástico na cintura, uma fofura!",https://www.alphabeto.com/conjunto-a-casinha-54690/p,11-04-2022
