name,price,composition,gender,category,description,img_url,url,scrapped-at
Bata Osaka,"R$ 107,40",100% Algodão,Meninas,Blusa / Bata,"Bata infantil em tecido 100% algodão. A versão azul índigo do modelo vem com abotoamento frontal, mangas curtas, e detalhe plissado na gola.",https://lojafabula.vteximg.com.br/arquivos/ids/546497-799-1000/505208_7017_1-BATA-OSAKA.jpg?v=637675029747500000,https://www.afabula.com.br/bata-osaka-azul-indigo-5-05208-7017/p,11-04-2022
Jardineira Re-Roupa,"R$ 95,40",Indefinida,Meninas,Macacão,,https://lojafabula.vteximg.com.br/arquivos/ids/237158-799-1000/506330_0000_1-JARDINEIRA-RE-ROUPA.jpg?v=636957918545900000,https://www.afabula.com.br/jardineira-re-roupa-colorido-5-06330-0000/p,11-04-2022
Camiseta Re-Roupa,"R$ 58,80",Indefinida,Meninas,Camiseta,,https://lojafabula.vteximg.com.br/arquivos/ids/293019-799-1000/506335_0000_1-CAMISETA-RE-ROUPA.jpg?v=637214475244000000,https://www.afabula.com.br/camiseta-re-roupa-colorido-5-06335-0000/p,11-04-2022
Moletom Re-Roupa,"R$ 89,40",Indefinida,Meninas,Casaco,,https://lojafabula.vteximg.com.br/arquivos/ids/293121-799-1000/506428_0000_1-MOLETOM-RE-ROUPA.jpg?v=637214476638170000,https://www.afabula.com.br/moletom-re-roupa-colorido-5-06428-0000/p,11-04-2022
Colar Micanga Bichos,"R$ 58,80",Indefinida,Meninas,Acessório,"Moda é pra brincar! O Colar Bichos vem com pingentes coloridos do fundo do mar, no acessório feito de miçangas e cadarço. Combine e misture com suas peças favoritas!",https://lojafabula.vteximg.com.br/arquivos/ids/546363-799-1000/506432_0000_1-COLAR-MICANGA-BICHOS.jpg?v=637675028948070000,https://www.afabula.com.br/colar-micanga-bichos-colorido-5-06432-0000/p,11-04-2022
Saia Estalinho Festa Junina,"R$ 118,80",100% Algodão,Meninas,Saia / Short,,https://lojafabula.vteximg.com.br/arquivos/ids/293253-799-1000/506527_9122_1-SAIA-ESTALINHO-FESTA-JUNINA.jpg?v=637214477949130000,https://www.afabula.com.br/saia-estalinho-festa-junina-est-estalinho-colorido-5-06527-9122/p,11-04-2022
Colar Bolas,"R$ 53,40",Indefinida,Meninas,Acessório,,,https://www.afabula.com.br/colar-bolas-colorido-5-07049-0000/p,11-04-2022
Arco Laço Xadrez,"R$ 58,80",100% Algodão,Meninas,Acessório,,,https://www.afabula.com.br/arco-laco-xadrez-xadrez-verde-5-07738-8228/p,11-04-2022
Almofadas Frutas,"R$ 89,40",Indefinida,Meninas,Objeto,Almofada de tecido em formato de fruta colorida. Para colorir o quarto dos pequenos e estimular a imaginação!,,https://www.afabula.com.br/almofadas-frutas-cururu-5-07961-8274/p,11-04-2022
Colar Abacaxi Tricot,"R$ 58,80",Indefinida,Meninas,Acessório,"Moda é pra brincar! Colar de miçangas coloridas, com pingente de abacaxi feito em linhas coloridas. Combine e misture com suas peças favoritas!",https://lojafabula.vteximg.com.br/arquivos/ids/426415-799-1000/507963_0000_2-COLAR-ABACAXI-TRICOT.jpg?v=637341415642900000,https://www.afabula.com.br/colar-abacaxi-tricot-colorido-5-07963-0000/p,11-04-2022
Meia Calca Xadrez,"R$ 41,40",Indefinida,Meninas,Calça,"Moda é pra brincar! Meia calça com estampa xadrez, para misturar com suas roupas favoritas!",https://lojafabula.vteximg.com.br/arquivos/ids/503200-799-1000/507914_0000_1-MEIA-CALCA-XADREZ.jpg?v=637551115683670000,https://www.afabula.com.br/meia-calca-xadrez-colorido-5-07914-0000/p,11-04-2022
Kit Carimbo,"R$ 113,40",Indefinida,Meninas,Objeto,,,https://www.afabula.com.br/kit-carimbo-colorido-5-07884-0000/p,11-04-2022
Saia Tule Fantasia Arco Iris,"R$ 89,40",100% Poliéster Detalhe 100% Algodão,Meninas,Fantasia,,https://lojafabula.vteximg.com.br/arquivos/ids/501775-799-1000/508506_0000_1-SAIA-TULE-FANTASIA-ARCO-IRIS.jpg?v=637550822426670000,https://www.afabula.com.br/saia-tule-fantasia-arco-iris-colorido-5-08506-0000/p,11-04-2022
Saia Tule Camadas,"R$ 83,40",96% Poliamida 4% Elastano Forro 100% Viscose,Meninas,Saia / Short,"Saia de tule colorido para crianças. A roupa vem com sobreposição de camadas, forro, e cós de elástico .",https://lojafabula.vteximg.com.br/arquivos/ids/499176-799-1000/508191_0000_1-SAIA-TULE-CAMADAS.jpg?v=637550791130430000,https://www.afabula.com.br/saia-tule-camadas-colorido-5-08191-0000/p,11-04-2022
Cinto Arco Iris,"R$ 77,40",Indefinida,Meninas,Acessório,,,https://www.afabula.com.br/cinto-arco-iris-colorido-5-08365-0000/p,11-04-2022
Kit Meia Noite e Dia,"R$ 41,40",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/503373-799-1000/508369_0000_1-KIT-MEIA-NOITE-E-DIA.jpg?v=637551116852400000,https://www.afabula.com.br/kit-meia-noite-e-dia-colorido-5-08369-0000/p,11-04-2022
Pulseira Frutas,"R$ 47,40",Indefinida,Meninas,Acessório,"Par de pulseiras divertidas para crianças, com miçangas coloridas em formato de frutinhas.",,https://www.afabula.com.br/pulseira-frutas-colorido-5-08285-0000/p,11-04-2022
Casaco Moletom Mimo,"R$ 198,00","88,5% Algodão 11,5% Poliéster",Meninas,Casaco,,https://lojafabula.vteximg.com.br/arquivos/ids/564202-799-1000/511066_17085_1-CASACO-MOLETOM-MIMO.jpg?v=637794390761830000,https://www.afabula.com.br/casaco-moletom-mimo-est-mimo-fundo-azul-yara-5-11066-17085/p,11-04-2022
Jardineira Sarja Bordada Bananica,"R$ 329,00",98% Algodão 2% Elastano,Meninas,Macacão,"Short infantil de sarja estampada para crianças, com bolsos, abotoamento e passadores no cós.",https://lojafabula.vteximg.com.br/arquivos/ids/580552-799-1000/510863_0200_1-JARDINEIRA-SARJA-BORDADA-BANANICA.jpg?v=637828902133830000,https://www.afabula.com.br/jardineira-sarja-bordada-bananica-azul-5-10863-0200/p,11-04-2022
Bata Babado Lisa,"R$ 169,00",100% Algodão,Meninas,Blusa / Bata,"Camisa infantil desenvolvida em tecido xadrez 100% algodão com mangas curtas, golinha, abotoamento e bolso frontal , e pala nas costas.",https://lojafabula.vteximg.com.br/arquivos/ids/571823-799-1000/511350_0024_1-BATA-BABADO-LISA.jpg?v=637795246762300000,https://www.afabula.com.br/bata-babado-lisa-off-white-5-11350-0024/p,11-04-2022
Top Xadrez Aurora,"R$ 149,00",100% Algodão,Meninas,Blusa / Bata,"Bata infantil desenvolvida em tecido listrado 100% algodão com forro , decote quadrado, mangas bufantes, barrado rodadao, e abotoamento nas costas.",https://lojafabula.vteximg.com.br/arquivos/ids/571819-799-1000/511352_0007_1-TOP-XADREZ-AURORA.jpg?v=637795246745230000,https://www.afabula.com.br/top-xadrez-aurora-xadrez-aurora-5-11352-0007/p,11-04-2022
Cinto Tamarindo,"R$ 129,00",Indefinida,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/570744-799-1000/511172_0000_1-CINTO-TAMARINDO.jpg?v=637795242600370000,https://www.afabula.com.br/cinto-tamarindo-colorido-5-11172-0000/p,11-04-2022
Macacao Tabuleiro,"R$ 289,00",100% Algodão Forro 100% Algodão,Meninas,Macacão,,https://lojafabula.vteximg.com.br/arquivos/ids/578803-799-1000/510716_17046_1-MACACAO-TABULEIRO.jpg?v=637825293071470000,https://www.afabula.com.br/macacao-tabuleiro-est-tabuleiro-fundo-off-5-10716-17046/p,11-04-2022
Vestido Liberdade,"R$ 198,00",100% Algodão,Meninas,Vestido,"Vestido infantil desenvolvido em tecido 100% algodão , com mangas curtas sem cava, vivo listrado, decote plissado, abotoamento nas costas , barra traseira rodada, e os desenhos coloridos da estampa Liberdade.",https://lojafabula.vteximg.com.br/arquivos/ids/584779-799-1000/510723_17027_1-VESTIDO-LIBERDADE.jpg?v=637847730119630000,https://www.afabula.com.br/vestido-liberdade-est-liberdade-fundo-off---5-10723-17027/p,11-04-2022
Pijama Camisola Arco Iris,"R$ 189,00",100% Algodão,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/567431-799-1000/510906_0000_1-PIJAMA-CAMISOLA-ARCO-IRIS.jpg?v=637795217062900000,https://www.afabula.com.br/pijama-camisola-arco-iris-colorido-5-10906-0000/p,11-04-2022
Kit Calcinha Pompom,"R$ 129,00",100% Algodão Combinação 100% Algodão,Meninas,Acessório,,https://lojafabula.vteximg.com.br/arquivos/ids/576187-799-1000/510909_17062_1-KIT-CALCINHA-POMPOM.jpg?v=637813305351400000,https://www.afabula.com.br/kit-calcinha-pompom-est-pompom-fundo-off-5-10909-17062/p,11-04-2022
Macacao Malha Bolha De Sabao,"R$ 179,00",100% Algodão,Meninas,Macacão,,https://lojafabula.vteximg.com.br/arquivos/ids/567555-799-1000/510951_17060_1-MACACAO-MALHA-BOLHA-DE-SABAO.jpg?v=637795217605670000,https://www.afabula.com.br/macacao-malha-bolha-de-sabao-est-bolha-de-sabao-lilas-aurora-5-10951-17060/p,11-04-2022
Calca Sarja Bordada Bananica,"R$ 289,00",98% Algodão 2% Elastano Forro De Bolso 100% Algodão,Meninas,Calça,,https://lojafabula.vteximg.com.br/arquivos/ids/580880-799-1000/511456_0200_1-CALCA-SARJA-BORDADA-BANANICA.jpg?v=637828903336200000,https://www.afabula.com.br/calca-sarja-bordada-bananica-azul-5-11456-0200/p,11-04-2022
Blusa Silk Aurora,"R$ 139,00",Indefinida,Meninas,Blusa / Bata,,https://lojafabula.vteximg.com.br/arquivos/ids/569706-799-1000/511106_02303_1-BLUSA-SILK-AURORA.jpg?v=637795230650300000,https://www.afabula.com.br/blusa-silk-aurora-laranja-guara-5-11106-02303/p,11-04-2022
Camiseta Uv Pilar Pb,"R$ 169,00",82% Poliamida 18% Elastano,Meninas,Camiseta,"Camiseta infantil com proteção UV , mangas longas, mistura de elastano para priorizar o conforto, detalhe de pespontos em cor contrastante, e estampa de florzinhas.",https://lojafabula.vteximg.com.br/arquivos/ids/574953-799-1000/511408_17528_1-CAMISETA-UV-PILAR-PB.jpg?v=637795269376200000,https://www.afabula.com.br/camiseta-uv-pilar-pb-est-pilar-mini-pb-fundo-off-5-11408-17528/p,11-04-2022
