name,price,composition,material-sum,age,category,sub_category,description,img_url,url,scrapped-at
Meia Sapatilha Lupo -  Sport,"15,90",3% outra 30% poliamida 67% algodão,1.0,Adulto,Meias,Soquetes,"A Meia Sapatilha Lupo já se tornou um item básico, tanto para quem pratica atividades físicas quanto para quem deseja apenas esconder o detalhe da meia no sapato. Super confortáveis, estão disponíveis em diversas cores e possuem em sua composição poliamida e algodão. As Meias Lupo são uma excelente opção para quem não abre mão de aliar estilo e conforto na hora de cuidar dos pés. Composição: 3% Outra Fibra, 30% Poliamida, 67% Algodão",https://lupo.vteximg.com.br/arquivos/ids/170813-500-500/03270-001-8020.jpg?v=636325263158630000,https://www.lupo.com.br/meia-lupo-au-sport-sap-03270-001/p,12-04-2022
Blusa 2 A Pele Loba - Manga Longa,"34,90",,0.0,Adulto,Blusas,Segunda Pele,Informações: Manga Longa Fio 40 Composição: 85% Poliamida,https://lupo.vteximg.com.br/arquivos/ids/182313-500-500/00800-001-1000.jpg?v=636867965703500000,https://www.lupo.com.br/blusa-2-a-pele-loba-00800-001/p,12-04-2022
Cueca Lupo Boxer,"51,90",4% elastano 5% elastano 7% poliéster 86% poliamida 9% poliamida 9% poliester,1.2,Adulto,Cuecas,Boxer,"Se você ainda não teve o prazer de usar uma cueca sem costura , não sabe o que está perdendo. Com fio texturizado a ar, essa cueca dura mais tempo, além de proporcionar conforto sem igual, graças à sensação macia e reconfortante do algodão que dá forma ao modelo. Por sua vez, a tecnologia e resistência do nylon impede que o tecido se rompa, seja no dia a dia ou após as lavagens. A presença da poliamida, do poliéster e do elastano tornam essa cueca boxer Lupo flexível, leve e confortável para o dia a dia. Garanta logo a sua A nossa categoria Lupo Sport está repleta de novidades e produtos super tecnológicos, não deixe de conferir Informações: Fio texturizado a ar Sensação de algodão com a tecnologia e resistência do nylon Composição: Cor 9990 Preta: Poliamida 86% Poliester 9% Elastano 5% Demais cores: Poliamida 9% Poliéster 7% Elastano 4%",https://lupo.vteximg.com.br/arquivos/ids/166756-500-500/00733-004-2560.jpg?v=636325164260100000,https://www.lupo.com.br/cueca-lupo-am-boxer-00733-004/p,12-04-2022
Cueca Lupo Slip - Microfibra,"43,90",3% poliester 4% elastano 93% poliamida 96% poliamida,1.96,Adulto,Cuecas,Slip,"Muitos homens não conseguem se acostumar com cuecas boxer e acabam fazendo questão de usar os modelos slip que não cobrem as pernas e dão mais mobilidade no dia a dia. Feita de poliamida e elastano, a cueca slip lupo não marca as pernas quando é usada com calça jeans, oferece conforto de sobra para ficar de bobeira em casa ou praticar exercícios dentro e fora de casa. O que você está esperando para garantir logo a sua próxima cueca slip preta e renovar a sua coleção de roupas íntimas Composição: Cores 4530 5650: Poliamida 96% Elastano 4% Demais cores: Poliamida 93% Elastano 4% Poliester 3%",https://lupo.vteximg.com.br/arquivos/ids/166585-500-500/00691-002-1110.jpg?v=636325160910400000,https://www.lupo.com.br/cueca-lupo-am-slip-microf-00691-002/p,12-04-2022
Cueca Lupo Boxer - Microfibra,"45,90",3% poliéster 4% elastano 93% poliamida 96% poliamida,1.96,Adulto,Cuecas,Boxer,"Quando falamos sobre excelência em roupa íntima masculina, estamos nos referindo à Cueca Lupo Boxer Microfibra Sem Costura Nos últimos anos, a cueca boxer ganhou lugar garantido na rotina de homens apaixonados por cuecas práticas e modernas, feitas para que fiquem confortáveis em diversas situações. Este modelo de cueca sem costura foi produzido com as melhores malhas do mercado, possibilitando uma maior liberdade de movimentos. A presença da poliamida e do elastano e com a tecnologia da microfibra, você estará adquirindo uma peça durável, leve e fácil de lavar e secar. Valorize o seu corpo e as suas curvas. Invista em uma cueca boxer de microfibra que te acompanha em todos os momentos. Composição: Cores 3250 4530 8710 5650: Poliamida 96% Elastano 4% Demais cores: Poliamida 93% Elastano 4% Poliéster 3%",https://lupo.vteximg.com.br/arquivos/ids/165925-500-500/00671-002-1110.jpg?v=636325151430570000,https://www.lupo.com.br/cueca-lupo-am-boxer-microf-00671-002/p,12-04-2022
Cueca Lupo Slip,"48,90",3% poliester 4% elastano 7% poliester 89% poliamida 93% poliamida,1.96,Adulto,Cuecas,Slip,"Há anos que a cueca slip masculina ganhou espaço no dia a dia dos homens. Ela protege os genitais, não incomoda quando é usada com calça jeans, favorece a prática de esportes, enfim, conta com inúmeros benefícios que deixam o seu dia mais confortável. Esse modelo da Lupo oferece tudo isso e muito mais para você aproveitar todos os momentos com o máximo conforto e flexibilidade. Fio texturizado a ar. Sensação de algodão com a tecnologia e resistência do nylon COMPOSIÇÃO: Cores 5650 8230: Poliamida 93% Elastano 4% Poliester 3% Demais cores: Poliamida 89% Poliester 7% Elastano 4%",https://lupo.vteximg.com.br/arquivos/ids/165111-500-500/00624-003-2560.jpg?v=636325139543830000,https://www.lupo.com.br/cueca-lupo-am-slip-00624-003/p,12-04-2022
Cueca Lupo Sunga - Algodão Com Elastano,"31,90",10% poliéster 5% elastano 85% algodão 95% algodão,1.95,Adulto,Cuecas,Sunga,"A cueca sunga lembra muito o modelo boxer, com a única diferença que é um pouco mais curta na região das pernas. Mesmo assim, a cueca tipo sunga consegue proporcionar o mesmo nível de conforto que você espera de uma peça para usar durante todo o dia, seja na beira da piscina ou na praia. COMPOSIÇÃO:Cor 8000: Algodão 85% Poliéster 10% Elastano 5% Demais Cores: Algodão 95% Elastano 5%",https://lupo.vteximg.com.br/arquivos/ids/164019-500-500/00460-002-2815.jpg?v=636325107199600000,https://www.lupo.com.br/cueca-lupo-am-sunga-00460-002/p,12-04-2022
Calcinha Lobinha Basica  - Kit C/ 2 Unidades,"24,90",100% algodao,1.0,Infantil,Lingerie,Calcinhas Básica,Composição: 100% Algodao,https://lupo.vteximg.com.br/arquivos/ids/173858-500-500/208-903.jpg?v=636347826252530000,https://www.lupo.com.br/calcinha-lobinha-kf-basica-kit2-00208-088/p,12-04-2022
Cueca Lupo Boxer - Algodão Com Elastano,"26,90",5% elastano 95% algodão,1.0,Infantil,Cuecas,Boxer,"Composição: 5% Elastano, 95% Algodão",https://lupo.vteximg.com.br/arquivos/ids/163828-500-500/00141-002-2390.jpg?v=636325103486570000,https://www.lupo.com.br/cueca-lupo-km-boxer-00141-002/p,12-04-2022
Top Lupo Contour,"146,90",3% poliester 4% elastano 93% poliamida,1.0,Adulto,Lupo Sport,Top,"Composição: 93% Poliamida, 4% Elastano, 3% Poliester",https://lupo.vteximg.com.br/arquivos/ids/192909-500-500/77115-001-8230-IMG_8046.jpg?v=637819108924700000,https://www.lupo.com.br/top-lupo-af-contour-71832-001/p,12-04-2022
Short Lupo LSport Basic,"111,90",4% elastano 96% poliamida,1.0,Adulto,Lupo Sport,Shorts,"O short Lupo LSport Basic feminino é indispensável para tornar a sua rotina de atividades físicas, seja na academia ou fora dela, ainda mais prática. Sem costuras e com tratamento Sanitized Fresh, a bermuda feminina para exercícios Lupo conta com tecnologia que impede a proliferação de microorganismos causadores de odores e bactérias e é capaz de manter a sensação de frescor e roupa limpa por muito mais tempo. Para o seu maior conforto, o short Lupo feminino LSport Basic está disponível nos tamanhos PP, P, M, G e GG e também nas cores preta, laranja e azul. Composição: 96% Poliamida, 4% Elastano",https://lupo.vteximg.com.br/arquivos/ids/192209-500-500/71348-001-9990.png?v=637467756015470000,https://www.lupo.com.br/short-lupo-af-lsport-basic-71348-001/p,12-04-2022
Calca Loba Gestante VB,"160,90",4% elastano 96% poliamida,1.0,Adulto,Meias-Calças,Gestantes,"Composição: 96% Poliamida, 4% Elastano",https://lupo.vteximg.com.br/arquivos/ids/192186-500-500/41853-002-9990.jpg?v=637467754636100000,https://www.lupo.com.br/calca-loba-af-gestante-vb-41853-002/p,12-04-2022
